trial,run,dog,chemical,event,start_time,end_time,cal
1,2,14,Ammonia,2,25.7,26.2,26.1
1,2,14,Ammonia,3,34.4,36,26.1
1,2,14,Blank,1,23.4,24.1,27.9
1,2,14,Blank,2,32.9,33.4,27.9
1,2,14,bromooctane,1,10.7,12.1,29.8
1,2,14,bromooctane,2,36.3,37.8,29.8
1,2,14,methylbenzoate,1,12,12.8,31.9
1,2,14,methylbenzoate,2,15.4,16.4,31.9
1,2,14,methylbenzoate,3,18.2,19.1,31.9
1,2,14,methylbenzoate,4,21.8,22.6,31.9
1,2,14,methylbenzoate,5,24.6,25.7,31.9
1,2,14,methylbenzoate,6,32.6,33.6,31.9
1,2,14,methylbenzoate,7,37.5,38.5,31.9
1,2,15,Ammonia,1,20.5,21.5,63
1,2,15,Ammonia,2,26.8,27.6,63
1,2,15,Ammonia,3,33.4,34.2,63
1,2,15,Blank,1,18.9,20,64.9
1,2,15,Blank,2,24.4,25.4,64.9
1,2,15,Blank,3,30.5,31.1,64.9
1,2,15,Blank,4,32,33.2,64.9
1,2,15,bromooctane,1,17.9,18.6,66.5
1,2,15,bromooctane,2,27.8,28.5,66.5
1,2,15,bromooctane,3,22.2,23,66.5
1,2,15,methylbenzoate,1,16.5,17.8,68.6
1,2,15,methylbenzoate,2,19.9,21,68.6
1,2,15,methylbenzoate,3,24.5,26,68.6
1,2,15,methylbenzoate,4,29.4,31.6,68.6
1,2,16,Ammonia,1,57.3,58.2,21.4
1,2,16,Ammonia,2,64.7,65.8,21.4
1,2,16,Blank,1,64.6,65.8,23.4
1,2,16,bromooctane,1,57.3,58.4,25.1
1,2,16,methylbenzoate,1,33.3,34.3,27.8
1,2,16,methylbenzoate,2,39.3,40,27.8
1,2,16,methylbenzoate,3,47.3,48.4,27.8
1,2,16,methylbenzoate,4,55.7,57.2,27.8
1,2,19,Ammonia,1,27.3,28.5,16
1,2,19,Ammonia,2,39.9,41.5,16
1,2,19,Blank,1,15.3,15.7,18.1
1,2,19,Blank,2,38,39,18.1
1,2,19,bromooctane,1,23.8,24.4,20.4
1,2,19,methylbenzoate,1,22.1,23,22.6
1,2,19,methylbenzoate,2,32.4,33.2,22.6
1,2,20,Ammonia,1,20.2,20.8,11.8
1,2,20,Ammonia,2,38,39.5,11.8
1,2,20,Ammonia,3,55.5,56,11.8
1,2,20,Blank,1,56.1,56.8,13.7
1,2,20,bromooctane,1,16.5,17.5,15.9
1,2,20,bromooctane,2,39.4,40.7,15.9
1,2,20,methylbenzoate,1,39.8,44.5,17.9
1,2,21,Ammonia,1,29.2,30.4,44.1
1,2,21,Ammonia,2,42.7,43.7,44.1
1,2,21,Ammonia,3,69.5,71.4,44.1
1,2,21,Blank,1,28.4,29.4,46.1
1,2,21,bromooctane,1,55.5,56.3,48.3
1,2,21,methylbenzoate,1,29.2,30,50.3
1,2,21,methylbenzoate,2,38.5,39.3,50.3
1,2,21,methylbenzoate,3,50.1,51,50.3
1,2,17,Ammonia,1,28,29,9
1,2,17,Ammonia,2,29.1,30.8,9
1,2,17,Ammonia,3,55.7,57.5,9
1,2,17,Blank,1,13,14.1,24.3
1,2,17,Blank,2,48.2,49.3,24.3
1,2,17,Blank,3,55.5,56.6,24.3
1,2,17,bromooctane,1,62.1,63.2,12.7
1,2,17,bromooctane,2,64.2,65.7,12.7
1,2,17,bromooctane,3,69.4,70.1,12.7
1,2,17,bromooctane,4,70.5,72,12.7
1,2,17,methylbenzoate,1,32,32.9,14.7
1,2,17,methylbenzoate,2,71.6,73.3,14.7
2,1,10,methylbenzoate,1,25,26.6,19.7
2,1,10,methylbenzoate,2,40.5,41.8,19.7
2,1,10,bromooctane,1,31.2,31.8,10.4
2,1,10,bromooctane,2,45.3,46.5,10.4
2,1,10,2E1H,1,26.8,27.4,13.8
2,1,10,2E1H,2,37.3,38.4,13.8
2,1,11,methylbenzoate,1,46.3,47,21.3
2,1,11,bromooctane,1,41.9,43.1,23
2,1,11,bromooctane,2,44.1,45,23
2,1,11,2E1H,1,31,33.5,26.5
2,1,12,methylbenzoate,1,58,59.8,12.4
2,1,12,bromooctane,1,48.4,49.1,14
2,1,12,Blank,1,45.1,47.1,15.9
2,1,12,2E1H,1,43.8,46,17.5
2,1,12,2E1H,2,56.5,57.4,17.5
2,1,14,methylbenzoate,1,29.2,30,18.4
2,1,14,methylbenzoate,2,55.4,56.3,18.4
2,1,14,methylbenzoate,3,59.2,60.2,18.4
2,1,14,bromooctane,1,38.4,38.9,20
2,1,14,Blank,1,27.2,28.3,21.3
2,1,15,methylbenzoate,1,64.1,64.8,9.6
2,1,15,methylbenzoate,2,75.3,76,9.6
2,1,15,methylbenzoate,3,80.5,83,9.6
2,1,15,bromooctane,1,61.6,63.5,11.3
2,1,15,bromooctane,2,66.2,66.8,11.3
2,1,15,bromooctane,3,72.9,73.7,11.3
2,1,15,Blank,1,80,81.3,13.1
2,1,15,Blank,2,81.5,82.2,13.1
2,1,15,2E1H,1,47.4,48.4,14.5
2,1,15,2E1H,2,57.6,58.3,14.5
2,1,15,2E1H,3,68.7,69.3,14.5
2,1,15,2E1H,4,82,83,14.5
2,1,16,methylbenzoate,1,25.2,26.7,14.1
2,1,16,methylbenzoate,2,36.6,38,14.1
2,1,16,methylbenzoate,3,45.5,47.8,14.1
2,1,16,bromooctane,2,62.5,63.4,16
2,1,16,Blank,1,50,50.7,18
2,1,16,Blank,2,61.6,62.6,18
2,1,16,2E1H,1,29.3,30.3,19.8
2,1,16,2E1H,2,49.2,49.9,19.8
2,1,16,2E1H,3,60.8,61.9,19.8
2,1,17,methylbenzoate,1,73.7,74.8,20
2,1,17,Blank,1,39.5,40.2,24
