"trial","run","dog","chemical","event","start_time","end_time","cal","target","sniff_freq","sniff_duration","sniff_volume","sniff_vfr","sniff_counts","total_volume"
"2","2","20","methylbenzoate",1,30.8,31.5,10,FALSE,4.63157894736845,0.234999999999999,267.984176868689,978.507225551753,2,535.968353737377
"2","2","20","methylbenzoate",2,45,46.4,10,FALSE,4.65073529411771,0.196666666666667,70.5793863973841,309.485638310455,6,423.476318384305
"2","2","20","bromooctane",1,28,28.7,12,FALSE,6.06617647058826,0.166666666666667,127.226391176084,749.656715784141,3,381.679173528253
"2","2","20","bromooctane",2,42.8,43.4,12,FALSE,NA,NA,106.633039837506,366.411319877742,2,213.266079675012
"2","2","20","Blank",1,25.3,26.4,14,FALSE,4.70085470085469,0.188,55.4308074744618,257.965318587204,5,277.154037372309
"2","2","20","Blank",2,40.2,40.6,14,FALSE,NA,NA,1601.81805892519,9422.45917014806,1,1601.81805892519
"2","2","20","Ammonia",1,37.3,38.5,15.9,TRUE,6.78529803529805,0.155714285714285,111.159716792269,674.366438044928,7,778.118017545883
"2","2","13","methylbenzoate",1,99.1,101.2,23.6,FALSE,5.67323786673208,0.175454545454546,23.5091666314308,135.28355895838,11,258.600832945739
"2","2","13","methylbenzoate",2,139.5,140,23.6,FALSE,3.57142857142856,0.159999999999997,141.191962059461,1046.11142934245,2,282.383924118923
"2","2","13","bromooctane",1,106,108,25.4,FALSE,5.33920415907987,0.205555555555556,45.7950208654456,185.516625284929,9,412.15518778901
"2","2","13","bromooctane",2,138.2,139.5,25.4,FALSE,4.15140415140423,0.2575,191.691261663178,592.681928097381,4,766.765046652712
"2","2","13","Blank",1,91.3,92.4,27.4,FALSE,3.76984126984118,0.173333333333334,28.0282987078986,164.126624901132,6,168.169792247392
"2","2","13","Blank",2,133.5,134.1,27.4,FALSE,5.71895424836612,0.180000000000007,149.990673585462,740.361957437025,3,449.972020756387
"2","2","13","Blank",3,137,137.5,27.4,FALSE,6.25000000000013,0.164999999999992,88.7164069463364,535.840985439783,2,177.432813892673
"2","2","13","Blank",4,141.6,142.2,27.4,FALSE,5.15873015872996,0.200000000000003,117.443176714292,554.195405953516,2,234.886353428584
"2","2","13","Ammonia",1,130.3,131.2,29.4,TRUE,6.74710910004987,0.151999999999998,38.1865169570602,249.825862190742,5,190.932584785301
"2","2","22","methylbenzoate",2,142.5,144,7.6,FALSE,7.09780959780964,0.134,16.8122543027676,121.172429775446,10,168.122543027676
"2","2","22","bromooctane",1,122.8,124.2,9.4,FALSE,6.15079365079366,0.147500000000001,343.296143919678,2196.95640075763,8,2746.36915135743
"2","2","22","Ammonia",1,87.6,88.2,20,TRUE,6.24999999999958,0.170000000000002,-48.1072033962216,-282.983549389536,1,-48.1072033962216
"2","2","23","methylbenzoate",1,156,158.5,15.4,FALSE,4.28146993846675,0.231999999999999,175.207247398162,648.888546383604,10,1752.07247398162
"2","2","24","methylbenzoate",1,16.3,17.8,6.2,FALSE,6.51014109347443,0.1575,212.753574942739,1304.03823678381,8,1702.02859954191
"2","2","24","methylbenzoate",2,22.5,23.4,6.2,FALSE,7.00630252100844,0.15,241.838956240216,1498.08787275246,5,1209.19478120108
"2","2","24","bromooctane",1,13.7,14.2,8.2,FALSE,6.69642857142855,0.156666666666666,180.774842224465,1158.03464356599,3,542.324526673395
"2","2","24","bromooctane",2,19.8,20.7,8.2,FALSE,6.06837606837605,0.15,67.5086467222657,450.057644815104,4,270.034586889063
"2","2","24","Blank",1,11.1,11.6,10.2,FALSE,6.66666666666673,0.21,253.492653496316,985.671551058461,2,506.985306992631
"2","2","24","Blank",2,23.3,23.9,10.2,FALSE,7.14285714285723,0.139999999999998,109.088192432927,737.742614757605,3,327.26457729878
"2","2","24","Ammonia",1,14.8,15.2,12.1,TRUE,5.88235294117653,0.200000000000003,844.19937544983,4220.99687724909,1,844.19937544983
"2","2","24","Ammonia",2,21.9,22.8,12.1,TRUE,6.53571428571431,0.1575,263.945606948357,1671.47212925107,4,1055.78242779343
"2","2","25","methylbenzoate",1,50.5,51,12.9,FALSE,7.41758241758233,0.145,43.2227280171548,302.596718329979,2,86.4454560343096
"2","2","25","bromooctane",1,42,43,15.2,FALSE,6.82417582417582,0.151666666666666,55.0321504550763,375.05290214353,6,330.192902730458
"2","2","25","bromooctane",2,49.3,50,15.2,FALSE,5.55555555555556,0.164999999999999,30.8503708189966,151.718732363554,4,123.401483275986
"2","2","25","bromooctane",3,57.5,58.5,15.2,FALSE,5.42328042328039,0.162,37.22194926853,213.998896126317,5,186.10974634265
"2","2","25","Blank",1,54.8,55.9,17.4,FALSE,4.87052730696815,0.151666666666666,19.0241296043855,108.972719753399,6,114.144777626313
"2","2","25","Ammonia",1,52.5,53.6,19.2,TRUE,5.39109311740887,0.19,34.0471338896936,147.915703042223,4,136.188535558774
"3","1","1","2E1H",1,19.1,20.3,28.6,TRUE,5.46651387827859,0.19,78.1462133236611,364.17615484006,6,468.877279941966
"3","1","1","2E1H",2,29.8,30.4,28.6,TRUE,6.74547330894082,0.139999999999998,47.8671175050367,294.323473227816,3,143.60135251511
"3","1","1","2E1H",3,37.3,37.8,28.6,TRUE,5.90277777777771,0.165000000000003,202.456752390785,1118.18412460852,2,404.913504781571
"3","1","1","Blank",1,28,28.7,19.6,FALSE,3.84057971014493,0.255000000000003,285.108697922875,1110.02796695714,2,570.217395845751
"3","1","1","Blank",2,34.6,35.2,19.6,FALSE,6.66666666666641,0.150000000000001,120.21522873236,742.444102866678,3,360.645686197081
"3","1","1","methylbenzoate",1,37.4,38,21.7,FALSE,5.55555555555556,0.200000000000003,243.958393773752,1219.79196886874,1,243.958393773752
"3","1","1","methylbenzoate",2,38.9,39.6,21.7,FALSE,6.97115384615405,0.150000000000001,214.240995388185,1407.25629451113,3,642.722986164554
"3","1","1","bromooctane",1,29.3,32,23.9,FALSE,5.31924508240299,0.203076923076923,113.593397861044,554.311063962315,13,1476.71417219357
"3","1","1","bromooctane",2,43.7,44.1,23.9,FALSE,NA,NA,262.308726654856,1380.57224555184,1,262.308726654856
"3","1","2","2E1H",1,15.4,15.9,45.7,TRUE,6.45833333333336,0.154999999999999,74.7329810440278,467.028276224219,2,149.465962088056
"3","1","2","2E1H",2,27.9,28.5,45.7,TRUE,6.0661764705882,0.17,52.7883451240562,310.519677200327,2,105.576690248112
"3","1","2","2E1H",3,78.5,78.9,45.7,TRUE,6.25000000000013,0.175000000000004,206.018303235845,1100.35747357994,2,412.03660647169
"3","1","2","Blank",1,29.5,30.2,47.2,FALSE,3.22580645161288,0.210000000000001,71.3183228316929,306.145279100538,2,142.636645663386
"3","1","2","methylbenzoate",1,28.5,29.4,48.8,FALSE,5.85784313725491,0.1775,167.582261541595,903.896697007943,4,670.329046166378
"3","1","2","methylbenzoate",2,43.4,43.9,48.8,FALSE,5.88235294117641,0.164999999999999,104.278977909761,638.946430533588,2,208.557955819521
"3","1","2","bromooctane",1,20.8,21.5,50.4,FALSE,5.85822021116136,0.215,111.431110842623,515.108558165412,2,222.862221685247
"3","1","2","bromooctane",2,27.8,28.5,50.4,FALSE,6.56395891690006,0.165000000000001,113.856472906734,696.920423069612,4,455.425891626936
"3","1","9","2E1H",1,28.8,29.7,14.7,TRUE,5.50595238095242,0.16,93.0109840720898,543.877142965346,5,465.054920360449
"3","1","9","Blank",1,27.4,28.4,16.6,FALSE,4.469696969697,0.16,78.4531959556293,494.06372630573,3,235.359587866888
"3","1","9","Blank",2,41.4,41.9,16.6,FALSE,6.27450980392157,0.150000000000006,260.44622836531,1736.308189102,1,260.44622836531
"3","1","9","methylbenzoate",1,26.4,27.4,18,FALSE,5.18518518518517,0.16,152.093182923452,897.559227771773,4,608.372731693806
"3","1","9","bromooctane",1,25.6,26.1,19.6,FALSE,4.54545454545457,NA,NA,NA,1,NA
"3","1","9","bromooctane",2,37.1,37.6,19.6,FALSE,6.45833333333329,0.16,274.276189977707,1648.67992039025,2,548.552379955415
"3","1","14","2E1H",1,46.2,47,43.4,TRUE,6.11111111111115,0.220000000000001,164.346459349802,684.529936231891,3,493.039378049406
"3","1","14","2E1H",2,62.3,64,43.4,TRUE,4.01696910648317,0.225714285714286,182.564245810658,763.744263830538,7,1277.9497206746
"3","1","14","Blank",1,44.6,46,45,FALSE,5.61588738059322,0.194000000000001,65.4635965871322,316.823353724061,5,327.317982935661
"3","1","14","methylbenzoate",1,67,69.2,46.5,FALSE,6.46774521774526,0.159230769230769,214.060245726762,1309.87697954887,13,2782.7831944479
"3","1","14","bromooctane",1,47.8,48.6,47.9,FALSE,7.7228327228327,0.142,57.2107643241696,352.398109823621,5,286.053821620848
"3","1","14","bromooctane",2,55.4,55.8,47.9,FALSE,NA,NA,527.351171672231,2397.05078032834,1,527.351171672231
